scientificName,eventDate,decimalLatitude,decimalLongitude,stateProvince,country,basisOfRecord,institutionCode
"Sus scrofa Linnaeus, 1758",2018-01-12T18:43,-20.09559,-55.965176,Mato Grosso do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2018-04-21T12:43,-20.772229,-54.785153,Mato Grosso do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2018-05-28,-20.5527,-55.548,,Brazil,HUMAN_OBSERVATION,CIBIO
"Sus scrofa Linnaeus, 1758",2018-06-17T11:31:35,-16.519195,-56.698907,Mato Grosso,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2018-06-18,-20.5396,-55.5594,,Brazil,HUMAN_OBSERVATION,CIBIO
"Sus scrofa Linnaeus, 1758",2018-07-04,-20.5535,-55.5189,,Brazil,HUMAN_OBSERVATION,CIBIO
"Sus scrofa Linnaeus, 1758",2018-07-16T09:04,-26.998944,-51.553307,Santa Catarina,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa domesticus Linnaeus, 1758",2018-08-28T16:12,-19.573608,-56.152959,Mato Grosso do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2018-09-11,-20.4305,-56.0387,,Brazil,HUMAN_OBSERVATION,CIBIO
"Sus scrofa Linnaeus, 1758",2018-10-10,-20.226471,-46.480615,Minas Gerais,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus domesticus Erxleben, 1777",2018-12-19,-20.133245,-55.963269,Mato Grosso do Sul,Brazil,HUMAN_OBSERVATION,
